ENGLISH,TAMIL
ability,திறன்
able,முடியும்
abortion,கருக்கலைப்பு
about,பற்றி
above,மேலே
abroad,வெளிநாட்டில்
absence,இல்லாத
absolute,அறுதி
absolutely,முற்றிலும்
absorb,உறிஞ்சி
abuse,தவறாக
academic,கல்வி
accept,ஏற்க
access,அணுகல்
accident,விபத்து
accompany,உடன்
accomplish,சாதிக்க
according,படி
account,கணக்கு
accurate,துல்லியமான
accuse,குற்றம் சாட்ட
achieve,அடைய
achievement,சாதனை
acid,அமிலம்
acknowledge,ஏற்பதன்
acquire,அக்யூர்
across,முழுவதும்
act,நாடகம்
action,நடவடிக்கை
active,செயலில்
activist,ஆர்வலர்
activity,நடவடிக்கை
actor,நடிகர்
actress,நடிகை
actual,உண்மையான
actually,உண்மையில்
ad,விளம்பரம்
adapt,ஏற்ப
add,கூட்டு
addition,கூடுதலாக
additional,கூடுதல்
address,முகவரி
adequate,போதுமான
adjust,சரி
adjustment,சரிசெய்தல்
administration,நிர்வாகம்
administrator,நிர்வாகி
admire,ரசிக்கிறது
admission,சேர்க்கை
admit,ஒப்புக்கொள்ள
adolescent,பருவ
adopt,தத்தெடுக்க
adult,வயது
advance,முன்கூட்டியே
advanced,மேம்படுத்தபட்ட
advantage,நன்மை
adventure,சாகச
advertising,விளம்பர
advice,ஆலோசனை
advise,ஆலோசனை
adviser,ஆலோசகர்
advocate,வழக்கறிஞர்
affair,விவகாரம்
affect,பாதிக்கும்
afford,வாங்க
afraid,பயம்
African,ஆப்பிரிக்க
African-American,ஆப்பிரிக்க இனம் சேர்ந்த அமெரிக்கர்
after,பிறகு
afternoon,பிற்பகல்
again,மீண்டும்
against,எதிராக
age,வயது
agency,நிறுவனம்
agenda,நிகழ்ச்சி நிரல்
agent,முகவர்
aggressive,முரட்டுத்தனமான
ago,முன்பு
agree,ஏற்கிறேன்
agreement,ஒப்பந்தம்
agricultural,விவசாய
ah,ஹா
ahead,மேலே
aid,உதவி
aide,உதவியாளருக்கு
AIDS,எய்ட்ஸ்
aim,நோக்கம்
air,விமான
aircraft,விமானம்
airline,விமான
airport,விமான நிலைய
album,ஆல்பம்
alcohol,மது
alive,உயிருடன்
all,அனைத்து
alliance,கூட்டணி
allow,அனுமதிக்க
ally,கூட்டாளியான
almost,கிட்டத்தட்ட
alone,தனியாக
along,சேர்ந்து
already,ஏற்கனவே
also,மேலும்
alter,மாற்ற
alternative,மாற்று
although,என்றாலும்
always,எப்போதும்
AM,நான்
amazing,அற்புதமான
American,அமெரிக்க
among,மத்தியில்
amount,அளவு
analysis,ஆய்வு
analyst,ஆய்வாளர்
analyze,ஆய்வு
