,ENGLISH,TAMIL
0,ability,திறன்
1,able,முடியும்
2,abortion,கருக்கலைப்பு
3,about,பற்றி
4,above,மேலே
5,abroad,வெளிநாட்டில்
6,absence,இல்லாத
7,absolute,அறுதி
8,absolutely,முற்றிலும்
9,absorb,உறிஞ்சி
10,abuse,தவறாக
11,academic,கல்வி
12,accept,ஏற்க
13,access,அணுகல்
14,accident,விபத்து
15,accompany,உடன்
16,accomplish,சாதிக்க
17,according,படி
18,account,கணக்கு
19,accurate,துல்லியமான
20,accuse,குற்றம் சாட்ட
21,achieve,அடைய
22,achievement,சாதனை
23,acid,அமிலம்
24,acknowledge,ஏற்பதன்
25,acquire,அக்யூர்
26,across,முழுவதும்
27,act,நாடகம்
28,action,நடவடிக்கை
29,active,செயலில்
30,activist,ஆர்வலர்
31,activity,நடவடிக்கை
32,actor,நடிகர்
33,actual,உண்மையான
34,actually,உண்மையில்
35,ad,விளம்பரம்
36,adapt,ஏற்ப
37,addition,கூடுதலாக
38,additional,கூடுதல்
39,address,முகவரி
40,adequate,போதுமான
41,adjust,சரி
42,adjustment,சரிசெய்தல்
43,administration,நிர்வாகம்
44,administrator,நிர்வாகி
45,admire,ரசிக்கிறது
46,admission,சேர்க்கை
47,admit,ஒப்புக்கொள்ள
48,adolescent,பருவ
49,adult,வயது
50,advance,முன்கூட்டியே
51,advanced,மேம்படுத்தபட்ட
52,advantage,நன்மை
53,adventure,சாகச
54,advertising,விளம்பர
55,advice,ஆலோசனை
56,advise,ஆலோசனை
57,adviser,ஆலோசகர்
58,affair,விவகாரம்
59,affect,பாதிக்கும்
60,afraid,பயம்
61,African,ஆப்பிரிக்க
62,African-American,ஆப்பிரிக்க இனம் சேர்ந்த அமெரிக்கர்
63,after,பிறகு
64,afternoon,பிற்பகல்
65,again,மீண்டும்
66,against,எதிராக
67,age,வயது
68,agency,நிறுவனம்
69,agenda,நிகழ்ச்சி நிரல்
70,agent,முகவர்
71,aggressive,முரட்டுத்தனமான
72,ago,முன்பு
73,agree,ஏற்கிறேன்
74,agreement,ஒப்பந்தம்
75,agricultural,விவசாய
76,ah,ஹா
77,ahead,மேலே
78,aid,உதவி
79,aide,உதவியாளருக்கு
80,AIDS,எய்ட்ஸ்
81,aim,நோக்கம்
82,air,விமான
83,aircraft,விமானம்
84,airline,விமான
85,airport,விமான நிலைய
86,album,ஆல்பம்
87,alcohol,மது
88,alive,உயிருடன்
89,all,அனைத்து
90,alliance,கூட்டணி
91,allow,அனுமதிக்க
92,ally,கூட்டாளியான
93,almost,கிட்டத்தட்ட
94,alone,தனியாக
95,along,சேர்ந்து
96,already,ஏற்கனவே
97,also,மேலும்
98,alter,மாற்ற
99,alternative,மாற்று
100,although,என்றாலும்
101,always,எப்போதும்
102,AM,நான்
103,amazing,அற்புதமான
104,American,அமெரிக்க
105,among,மத்தியில்
106,amount,அளவு
107,analysis,ஆய்வு
108,analyst,ஆய்வாளர்
109,analyze,ஆய்வு
110,ancient,பண்டைய
111,and,மற்றும்
112,anger,கோபம்
113,angle,கோணம்
114,angry,கோபம்
115,animal,கால்நடை
116,anniversary,ஆண்டு
117,announce,அறிவிக்க
118,annual,வருடாந்திர
119,another,மற்றொரு
120,answer,பதில்
121,anticipate,எதிர்பார்க்கின்றனர்
122,anxiety,பதட்டம்
123,any,எந்த
124,anybody,யாரையும்
125,anymore,இனி
126,anyone,யாரையும்
127,anything,எதுவும்
128,anyway,எப்படியும்
129,apart,தவிர
130,apartment,அடுக்குமாடி இல்லங்கள்
131,apparent,வெளிப்படையான
132,apparently,வெளிப்படையாக
133,appeal,முறையீடு
134,appear,தோன்றும்
135,appearance,தோற்றம்
136,apple,ஆப்பிள்
137,application,விண்ணப்பம்
138,apply,விண்ணப்பிக்க
139,appoint,நியமிக்க
140,appointment,நியமனம்
141,appreciate,பாராட்ட
142,approach,அணுகுமுறை
143,appropriate,பொருத்தமான
144,approval,ஒப்புதல்
145,approve,ஒப்புதல்
146,approximately,சுமார்
147,Arab,அரபு
148,architect,கட்டட வடிவமைப்பாளர்
149,area,பகுதியில்
150,argue,வாதிடுகின்றனர்
151,argument,வாதம்
152,arise,எழுகின்றன
153,arm,கை
154,armed,ஆயுதங்கள்
155,army,இராணுவம்
156,around,சுற்றி
157,arrange,ஏற்பாடு
158,arrangement,ஏற்பாடு
159,arrest,கைது
160,arrival,வருகையை
161,arrive,வரும்
162,art,கலை
163,article,கட்டுரை
164,artist,கலைஞர்
165,as,போன்ற
166,Asian,ஆசிய
167,aside,ஒதுக்கி
